poly,Village Name,Survey_No,Mandal,District,State,Land SubDivision Number,Crop Area in Hectares,Land Record Area,Sowing Date,Event_date,Sowing Date,Plateau Start,Plateau End,Field Clearing Date,Event Occurred Type,Crop Name,High Resolution Usage Analysis,Sentinel LULC for Area Analysis,Score from Weather Anamoloies,Cycle Completeness Stage of the Crop ,Stage of the Crop at the time of the event ,Phenology similarity of past 5 years,NDMI status (dryness or wetness of the crop),Abnormalities in the Phenology,Phenology score at Event,Final Score for Settlement,Days passed after the plateau ended,Crop Standing on Event,Crop Harvested and Laid,Crop Removed,Verdict
30,KARWAR,2251,Nainwa,Bundi,Rajasthan,1212,0.47933,1.9173,2023-07-01,2023-09-16,2023-07-10,2023-08-11,2023-09-19,2023-10-19,Excess Rainfall,Soyabean,3.00,9.97,10.00,6.73,6.52,6.50,9.00,0.00,10.00,541,-3,0,0,0,Settle
31,KARWAR,2463,Nainwa,Bundi,Rajasthan,211,0.5,0.987,2023-07-05,2023-09-16,2023-06-22,2023-08-03,2023-09-15,2023-10-19,Excess Rainfall,Soyabean,10.00,9.65,8.57,7.23,7.00,6.80,8.00,0.00,10.00,606,1,0,1,0,Settle
32,KARWAR,2483,Nainwa,Bundi,Rajasthan,211,0.5,0.9708,2023-07-05,2023-09-16,2023-06-22,2023-08-11,2023-09-19,2023-10-23,Excess Rainfall,Soyabean,10.00,10.00,10.00,6.99,6.56,7.30,7.00,2.50,10.00,585,-3,0,0,0,Settle
33,KARWAR,2635,Nainwa,Bundi,Rajasthan,899,0.25283,1.0113,2023-07-02,2023-09-16,2023-07-10,2023-08-11,2023-09-19,2023-10-11,Excess Rainfall,Urad,10.00,9.27,10.00,7.31,6.01,6.60,7.00,0.00,10.00,599,-3,0,0,0,Settle
34,Savantgarh,162,Hindoli,Bundi,Rajasthan,387,0.09105,0.3642,2023-08-01,2023-09-18,2023-06-10,2023-08-03,2023-09-15,2023-10-11,Excess Rainfall,Urad,10.00,9.43,8.57,8.13,7.72,5.50,7.00,2.50,10.00,577,3,0,1,0,Settle
35,Savantgarh,211,Hindoli,Bundi,Rajasthan,386,0.12006,1.4407,2023-08-01,2023-09-18,2023-06-22,2023-08-03,2023-09-15,2023-10-19,Excess Rainfall,Urad,10.00,7.44,10.00,7.39,7.58,6.30,7.00,0.00,10.00,607,3,0,1,0,Settle
36,Savantgarh,212,Hindoli,Bundi,Rajasthan,386,0.13153,0.5261,2023-08-01,2023-09-18,2023-07-02,2023-08-03,2023-09-15,2023-10-07,Excess Rainfall,Urad,10.00,9.51,10.00,8.04,7.69,6.20,7.00,0.00,10.00,620,3,0,1,0,Settle
37,Savantgarh,213,Hindoli,Bundi,Rajasthan,386,0.05328,0.6394,2023-08-01,2023-09-18,2023-06-18,2023-07-27,2023-09-19,2023-10-23,Excess Rainfall,Urad,10.00,10.00,10.00,7.24,7.10,5.40,7.00,5.00,10.00,549,-1,0,1,0,Settle
38,Savantgarh,585,Hindoli,Bundi,Rajasthan,359,0.08418,0.4209,2023-08-01,2023-09-18,2023-06-28,2023-08-03,2023-09-15,2023-10-23,Excess Rainfall,Urad,10.00,9.40,10.00,7.01,7.78,3.90,8.00,0.00,10.00,593,3,0,1,0,Settle
39,Savantgarh,586,Hindoli,Bundi,Rajasthan,359,0.03238,0.1619,2023-08-01,2023-09-18,2023-06-10,2023-08-11,2023-09-19,2023-10-07,Excess Rainfall,Urad,10.00,10.00,10.00,8.40,7.73,5.10,8.00,2.50,10.00,595,-1,0,1,0,Settle
40,Savantgarh,589,Hindoli,Bundi,Rajasthan,237,0.04563,1.1979,2023-08-01,2023-09-18,2023-06-18,2023-08-11,2023-09-19,2023-10-23,Excess Rainfall,Urad,10.00,10.00,10.00,7.24,7.43,4.80,8.00,2.50,10.00,578,-1,0,1,0,Settle
41,Savantgarh,1326/508,Hindoli,Bundi,Rajasthan,208,0.1214,0.2428,2023-07-01,2023-09-18,2023-07-02,2023-08-03,2023-09-15,2023-10-23,Cyclonic Rains,Urad,10.00,10.00,8.57,6.90,7.72,7.00,8.00,0.00,10.00,613,3,0,1,0,Settle
